probeset_id	transcript_id
13341493	AT1G49020;AT1G73900;AT1G75070;AT1G76000;AT1G17660;AT1G18430;AT1G03515;AT2G33650;AT2G33660;AT2G39860;AT3G27555;AT3G51265;AT3G52765;AT3G59926;AT3G13335;AT3G02335;AT5G40545;AT5G05945;AT5G59055;AT5G14495;AT5G15815;AT5G21378
13341495	AT1G17680
13341516	AT1G17700
13341520	AT1G17730
13341525	AT1G17745;AT1G17744
13341533	AT1G17750
13341537	AT1G17770
13341539	AT1G17780
13341548	AT1G17800
13341552	AT1G17810
13341558	AT1G17840
13341571	AT1G17860
13341574	AT1G17910
13341578	AT1G17950
13341584	AT1G17970
13341592	AT1G18000;AT1G18010
13341596	AT1G17990;AT1G18020
13341603	AT1G18030
13341614	ath-MIR159b
13341616	AT1G18080
13341621	AT1G18090
13341634	AT1G18130
13341640	AT1G18160
13341654	AT1G18170
13341660	AT1G18180
13341673	AT1G18280
13341679	AT1G18290
13341683	AT1G18300
13341688	AT1G18320
13341695	AT1G18350
13341698	AT1G18390
13341705	AT1G18400
13341713	AT1G18420;AT1G18415
13341721	AT1G49020;AT1G73900;AT1G75070;AT1G76000;AT1G17660;AT1G18430;AT1G20210;AT1G03515;AT2G33660;AT2G39860;AT3G27555;AT3G51265;AT3G52765;AT3G59926;AT3G13335;AT3G02335;AT5G40545;AT5G05945;AT5G59055;AT5G14495;AT5G15815;AT5G21378
13341723	AT1G18440
13341733	AT1G18450
13341755	AT1G18460
13341766	AT1G18480
13341769	AT1G18485
13341772	AT1G18490;AT1G18486
13341782	AT1G18500
13341795	AT1G18510
13341798	AT1G18520
13341803	AT1G18530
13341805	AT1G18560
13341812	AT1G18570
13341818	AT1G18580
13341823	AT1G18590
13341827	AT1G18600
13341838	AT1G18610
13341850	AT1G18620
13341863	AT1G18630
13341870	AT1G18660
13341894	AT1G18690
13341901	AT1G18700
13341929	AT1G18710
13341935	AT1G18730;AT1G18735
13341946	AT1G18740
13341950	AT1G18750
13341963	AT1G18773
13341968	AT1G74610;AT1G18820;AT4G16475
13341970	AT1G18830
13341989	AT1G18860
13341993	AT1G18870
13342012	AT1G18880
13342019	ath-MIR837
13342021	AT1G18900
13342029	AT1G18940
13342032	AT1G18950
13342047	AT1G18960
13342052	AT1G19010
13342060	AT1G19020
13342064	AT1G19025
13342071	AT1G19040
13342073	AT1G19080;AT1G19070
13342085	AT1G19086
13342090	AT1G19090
13342100	AT1G19100
13342121	AT1G19110
13342137	AT1G19115
13342145	AT1G19120
13342153	AT1G19150
13342158	AT1G19170
13342166	AT1G19180
13342173	AT1G19190
13342176	AT1G19230;AT1G19240
13342196	AT1G19270
13342210	AT1G19290
13342212	AT1G19320
13342217	AT1G19340
13342228	AT1G19350
13342234	AT1G19373
13342236	AT1G19376
13342238	AT1G19380
13342243	AT1G19397;AT1G19396;AT1G19394
13342255	AT1G19440
13342259	AT1G19460
13342261	ath-MIR864
13342263	AT1G19470
13342265	AT1G19480
13342272	AT1G19485
13342291	AT1G19520
13342297	AT1G19530
13342304	AT1G19540
13342312	AT1G19580
13342322	AT1G19600
13342333	AT1G19620
13342336	AT1G19680
13342343	AT1G19710
13342351	AT1G19740
13342355	AT1G19750
13342364	AT1G19770
13342369	AT1G19800
13342376	AT1G19830
13342380	AT1G19850
13342395	AT1G19890
13342401	AT1G19910
13342407	AT1G19930
13342410	AT1G19950
13342418	AT1G19960
13342422	AT1G19968
13342424	AT1G19980
13342432	AT1G19990
13342439	AT1G20015
13342441	AT1G20020
13342454	AT1G20030
13342462	AT1G20050
13342469	AT1G20065
13342476	AT1G20080
13342490	AT1G20090
13342500	AT1G20110
13342513	AT1G20120
13342521	AT1G20130
13342530	AT1G20132
13342538	AT1G20135
13342544	AT1G20140
13342548	AT1G20180
13342555	AT1G20210
13342557	AT1G20230
13342559	AT1G20260
13342573	AT1G20300;AT1G20290
13342577	AT1G20310
13342580	AT1G20350
13342583	ath-MIR394a
13342585	AT1G20380
13342597	AT1G20405
13342600	AT1G20460
13342604	AT1G20470
13342608	AT1G20520;AT1G20515
13342611	AT1G20540
13342626	AT1G20580
13342632	AT1G20600
13342636	AT1G20620
13342649	AT1G20630
13342658	AT1G20640
13342666	AT1G20680
13342674	AT1G20690
13342678	AT1G20693
13342686	AT1G20696
13342695	AT1G20700
13342700	AT1G20710
13342704	AT1G20730
13342710	AT1G20735
13342712	AT1G20740
13342717	AT1G20760
13342732	AT1G20780
13342738	AT1G20810
13342746	AT1G20816
13342754	AT1G20823
13342758	AT1G20830
13342765	AT1G20850
13342771	AT1G20875
13342773	AT1G20900
13342777	AT1G20920
13342787	AT1G20925
13342800	AT1G20967
13342802	AT1G20970
13342813	AT1G20980
13342826	AT1G21000
13342833	AT1G21010
13342837	AT1G21050
13342841	AT1G21060
13342853	AT1G21065
13342862	AT1G21090
13342869	AT1G21140
13342873	AT1G21170
13342890	AT1G21200
13342894	ath-MIR781a
13342896	AT1G21210
13342902	AT1G21230
13342906	AT1G21240
13342911	AT1G21245
13342913	AT1G21250
13342919	AT1G21270
13342925	AT1G21281
